"","Anemone.ID","Month","Month.Clutch","Treatment","Reef.ID","Date","Time","Clutch.Age","M.tend","F.tend","Conflict.M","Conflict.F","Actual.Observer","Manipulation","Age","Laid","ID","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL"
"76",384,"2",2,"M","Hanging 2 ","8/9/2018",22,7,12.59133333,0.765783333,0,1,"M","7/18/2018","Late",362,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"77",384,"1",3,"M","Hanging 2","7/16/2018",33,7,13.32005,0.614033333,0,0,"M","6/13/2018","Late",253,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"78",384,"2",1,"M","Hanging 2","7/28/2018",10,6,11.60121667,1.682483333,0,0,"M","7/18/2018","Late",343,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"79",384,"1",2,"M","Hanging 2","6/30/2018",17,3,7.81955,0.658316667,0,0,"M","6/13/2018","Early",273,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"80",386,"1",1,"F","First","6/30/2018",17,3,8.232216667,1.865883333,0,0,"T","6/13/2018","Early",59,386,"Y",53.4,54.6,54,39.3,42.1,40.7,"2.8",1.2
"81",386,"1",1,"F","First","7/4/2018",21,7,10.84235,1.902216667,0,0,"T","6/13/2018","Late",59,386,"Y",53.4,54.6,54,39.3,42.1,40.7,"2.8",1.2
"82",390,"1",1,"C","Marks","6/19/2018",6,6,7.206616667,0.845666667,0,0,"T","6/13/2018","Late",165,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"83",390,"2",2,"C","Marks","8/6/2018",20,7,11.31988333,1.324716667,0,0,"T","7/17/2018","Late",366,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"84",390,"1",2,"C","Marks","7/3/2018",20,7,8.1688,1.138116667,0,0,"T","6/13/2018","Late",284,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"85",390,"1",3,"C","Marks","7/15/2018",32,7,11.75938333,1.0998,0,0,"T","6/13/2018","Late",195,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"86",390,"1",1,"C","Marks","6/17/2018",4,4,6.541,1.211233333,0,0,"T","6/13/2018","Early",165,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"87",390,"1",2,"C","Marks","6/29/2018",16,3,11.01571667,2.508933333,0,0,"T","6/13/2018","Early",284,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"88",390,"1",3,"C","Marks","7/11/2018",28,3,9.185516667,0.60805,0,0,"T","6/13/2018","Early",195,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"89",390,"2",1,"C","Marks","7/23/2018",6,3,10.1767,0.717716667,0,0,"T","7/17/2018","Early",350,390,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4
"90",392,"1",1,"M","Luba","7/1/2018",18,7,13.6208,0.78545,0,0,"M","6/13/2018","Late",226,392,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8
"91",392,"1",2,"M","Luba","7/7/2018",24,3,14.06536667,1.829466667,0,0,"M","6/13/2018","Early",170,392,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8
"92",392,"2",2,"M","Luba","8/3/2018",19,3,13.56168333,1.105,0,0,"M","7/15/2018","Early",326,392,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8
"93",392,"2",1,"M","Luba","7/28/2018",13,7,13.41613333,6.673883333,0,0,"M","7/15/2018","Late",415,392,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8
"94",392,"2",1,"M","Luba Luba","7/24/2018",9,3,14.8433,0.318633333,0,0,"T","7/15/2018","Early",415,392,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8
"95",392,"1",1,"M","Luba","6/27/2018",14,3,9.597466667,1.006683333,0,0,"M","6/13/2018","Early",226,392,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8
"96",393,"1",1,"M","Luba","6/25/2018",12,4,7.470583333,1.192233333,0,0,"M","6/13/2018","Early",186,393,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4
